label,text
"positif, Melihat tawamu Mendengar senandungmu Terlihat jelas di mataku Warna warna indahmu Menatap langkahmu Meratapi kisah hidupmu Terlihat jelas bahwa hatimu Anugerah terindah yang pernah kumiliki Sifatmu nan slalu Redakan ambisiku Tepikan khilafku Dari bunga yang layu Saat kau disisiku Kembali dunia ceria Tegaskan bahwa kamu Anugerah terindah yang pernah kumiliki Belai lembut jarimu Sejuk tatap wajahmu Hangat peluk janjimu Belai lembut jarimu Sejuk tatap wajahmu Hangat peluk janjimu Anugerah terindah yang pernah kumiliki Belai lembut jarimu Sejuk tatap wajahmu Hangat peluk janjimu Belai lembut jarimu Sejuk tatap wajahmu Hangat peluk janjimu Anugerah terindah yang pernah kumiliki"""
"positif, Sahabat sejatiku Hilangkah dari ingatanmu Di hari kita saling berbagi Dengan kotak sejuta mimpi Aku datang menghampirimu Kuperlihat semua hartaku Kita slalu berpendapat Kita ini yang terhebat Kesombongan di masa muda yang Indah Aku raja kaupun raja Aku hitam kaupun hitam Arti teman lebih dari sekedar materi Pegang pundakku jangan pernah lepaskan Bila ku mulai lelah Lelah dan tak bersinar Remas sayapku jangan pernah Lepaskan Bila ku ingin terbang Terbang meninggalkanmu hu ho ho ho Ku slalu membanggakanmu Kaupun slalu menyanjungku Aku dan kamu darah abadi Demi bermain bersama Kita duakan segalanya Merdeka kita kita merdeka Pegang pundakku jangan pernah Lepaskan Bila ku mulai lelah Lelah dan tak bersinar Remas sayapku jangan pernah Lepaskan Bila ku ingin terbang Terbang meninggalkanmu ho ho ho ho ha ho Tak pernah kita pikirkan Ujung perjalanan ini Tak usah kita pikirkan Ujung perjalanan ini ho ho ho ho"""
"positif, Jabat tanganku mungkin untuk yang terakhir kali Kita berbincang tentang memori di masa itu Peluk tubuhku usapkan juga air mataku Kita terharu seakan tidak bertemu lagi Bersenang senanglah Karna hari ini yang kan kita rindukan Di hari nanti sebuah kisah klasik untuk masa depan Bersenang senanglah Karna waktu ini yang kan kita banggakan di hari tua Sampai jumpa kawanku Smoga kita selalu Menjadi sebuah kisah klasik untuk masa depan Sampai jumpa kawanku Smoga kita selalu Menjadi sebuah kisah klasik untuk masa depan Bersenang senanglah Karna hari ini yang kan kita rindukan Di hari nanti Sampai jumpa kawanku Smoga kita selalu Menjadi sebuah kisah klasik untuk masa depan Sampai jumpa kawanku Smoga kita selalu Menjadi sebuah kisah klasik untuk masa depan Mungkin diriku masih ingin bersama kalian Mungkin jiwaku masih haus sanjungan kalian"""
"positif, Di matamu masih tersimpan selaksa peristiwa Benturan dan hempasan terpahat di keningmu Kau nampak tua dan lelah Keringat mengucur deras Namun kau tetap tabah Meski napasmu kadang tersengal Memikul beban yang makin sarat Kau tetap bertahan Engkau telah mengerti hitam dan merah jalan ini Keriput tulang pipimu gambaran perjuangan Bahumu yang dulu kekar legam terbakar matahari Kini kurus dan terbungkuk Namun semangat tak pernah pudar Meski langkahmu kadang gemetar Kau tetap setia Ayah dalam hening sepi kurindu Untuk menuai padi milik kita Tapi kerinduan tinggal hanya kerinduan Anakmu sekarang banyak menanggung beban Engkau telah mengerti hitam dan merah jalan ini Keriput tulang pipimu gambaran perjuangan Bahumu yang dulu kekar legam terbakar matahari Kini kurus dan terbungkuk Namun semangat tak pernah pudar Meski langkahmu kadang gemetar Kau tetap setia"""
"positif, Perjalanan ini terasa sangat menyedihkan Sayang engkau tak duduk di sampingku kawan Banyak cerita yang mestinya kau saksikan Di tanah kering bebatuan Tubuhku terguncang dihempas batu jalanan Hati tergetar menampak kering rerumputan Perjalanan ini pun seperti jadi saksi Gembala kecil menangis sedih Kawan coba dengar apa jawabnya Ketika ia kutanya mengapa Bapak ibunya telah lama mati Ditelan bencana tanah ini Sesampainya di laut Kukabarkan semuanya Kepada karang kepada ombak kepada matahari Tetapi semua diam Tetapi semua bisu Tinggallah ku sendiri Terpaku menatap langit Barangkali di sana ada jawabnya Mengapa di tanahku terjadi bencana Mungkin Tuhan mulai bosan Melihat tingkah kita Yang selalu salah dan bangga dengan dosa dosa Atau alam mulai enggan Bersahabat dengan kita Coba kita bertanya pada rumput yang bergoyang Kawan coba dengar apa jawabnya Ketika ia kutanya mengapa Bapak ibunya telah lama mati Ditelan bencana tanah ini Sesampainya di laut Kukabarkan semuanya Kepada karang kepada ombak kepada matahari Tetapi semua diam Tetapi semua bisu Tinggal aku sendiri Terpaku menatap langit Barangkali di sana ada jawabnya Mengapa di tanahku terjadi bencana Mungkin Tuhan mulai bosan Melihat tingkah kita Yang selalu salah dan bangga dengan dosa dosa Atau alam mulai enggan Bersahabat dengan kita Coba kita bertanya pada rumput yang bergoyang"""
"positif, Menatap indahnya senyuman di wajahmu Membuatku terdiam dan terpaku Mengerti akan hadirnya cinta terindah Saat kau peluk mesra tubuhku Banyak kata Yang tak mampu kuungkapkan Kepada dirimu Aku ingin engkau selalu Hadir dan temani aku Di setiap langkah yang meyakiniku Kau tercipta untukku Sepanjang hidupku Aku ingin engkau selalu Hadir dan temani aku Di setiap langkah yang meyakiniku Kau tercipta untukku Meski waktu akan mampu Memanggil seluruh ragaku Ku ingin kau tahu Ku selalu milikmu Yang mencintaimu Sepanjang hidupku Aku ingin engkau selalu Hadir dan temani aku Di setiap langkah yang meyakiniku Kau tercipta untukku Meski waktu akan mampu Memanggil seluruh ragaku Ku ingin kau tahu Ku selalu milikmu Yang mencintaimu"""
"positif, Aku sayang padamu Aku cinta padamu Semua kan kulakukan Demi kebahagiaanmu Tak pernah kukeluhkan Walau rintangan menghadang Panas hujan begini Makanan sehari hari Kurela pergi pagi pulang pagi Hanya untuk mengais rezeki Doakan saja aku pergi Semoga pulang dompetku terisi Kamu tak perlu resah Aku sedang berusaha Demi kebahagiaan Kamu yang aku sayangi Tak pernah kukeluhkan Walau rintangan menghadang Panas hujan begini Makanan sehari hari Kurela pergi pagi pulang pagi Hanya untuk mengais rezeki Doakan saja aku pergi Semoga pulang dompetku terisi Kau doakan saja aku pergi Semoga pulang dompetku terisi Aku rela pergi pagi pulang pagi Hanya untuk mengais rezeki Kau doakan saja aku pergi Semoga pulang dompetku terisi Semoga pulang dompetku terisi Dan semoga kau tak ngambek lagi"""
"positif, Dalam suatu pagi aku bergegas Untuk melupakan kejenuhan hati Hilangkan rasa sepi ini kawan Segera bergegas untuk mencari kemenangan Berikan senyuman untuk dunia Jangan tunjukkan kesedihan kita Jabat eratlah tangan ku kawan Dan kita melompat bersama sama Lupakan sejenak lukamu Untuk lupakan kepedihan Bukalah matamu kawan Tataplah dunia Selamat pagi dunia Kita siap tuk jalani hari Yang penuh dengan tantangan Lupakan perpisahan Di otak simpan kesenangan Dan mulai bernyanyi kawan Berikan senyuman untuk dunia Jangan tunjukkan kesedihan kita Jabat eratlah tangan ku kawan Dan kita melompat bersama sama Lupakan sejenak lukamu Untuk lupakan kepedihan Bukalah matamu kawan Tataplah dunia Selamat pagi dunia Kita siap tuk jalani hari Yang penuh dengan tantangan Lupakan perpisahan Di otak simpan kesenangan Dan mulai bernyanyi kawan Im just wake up in early morning Thanks god you give what a wonderful morn"""
"positif, Waktu pertama kali Kulihat dirimu hadir Rasa hati ini inginkan dirimu Hati tenang mendengar Suara indah menyapa Geloranya hati ini tak kusangka Rasa ini tak tertahan Hati ini selalu untukmu Terimalah lagu ini Dari orang biasa Tapi cintaku padamu luar biasa Aku tak punya bunga Aku tak punya harta Yang kupunya hanyalah hati yang setia Tulus padamu Hari hari berganti Kini cinta pun hadir Melihatmu memandangmu bagai bidadari Lentik indah matamu Manis senyum bibirmu Hitam panjang rambutmu anggun terikat Rasa ini tak tertahan Hati ini selalu untukmu Terimalah lagu ini Dari orang biasa Tapi cintaku padamu luar biasa Aku tak punya bunga Aku tak punya harta Yang kupunya hanyalah hati yang setia Tulus padamuu Terimalah lagu ini Hmm Dari orang biasa Terimalah lagu ini Dari orang biasa Tapi cintaku padamu luar biasa Aku tak punya bunga Aku tak punya harta Yang kupunya hanyalah hati yang setia Yang kupunya hanyalah hati yang setia Terimalah cintaku yang luar biasa Tulus padamu"""
"negatif, Jangan kau tanya lagi Mengapa memerah mataku ini Coba coba jawab sendiri Mengapa air hujan turun ke bumi Jauh kapal berlayar Singgah di dermaga walau sebentar Tidak tidak seperti kamu Pergi keseberang sudah tak ingat pulang Bukan materi obat dihati Aku inginkan kasih sayang Pandai dirimu meyimpan dia Jangan kau anggap mataku buta Burung saja terbang tak lupa pulang Ingat sangkar anak istri"""
