label,text
positif,"hello teman semua ayo kita sambut hari baru telah tiba apa yang ku rasakan ku ingin engkau tahu dan berbagi bersama buka kita buka hari yang baru sebagai semangat langkah ke depan jadi pribadi baru"""
positif,"Mentari terbenam temani dalam kesendirianku Temani aku dalam kepedihan ini Ku bertahan Mentari terbenam beri semangat baru tuk jiwaku Beri kicauan merdu tuk hidupku ini Ku bertahan"""
positif,"Di kala kau putus asa Dan telah lelah mencoba Angkatlah bahumu kawan Gagal itu hal biasa Bukan akhir segalanya Itulah awal cerita indah Jangan pernah lelah berlari Mengejar asa yang kau cari Keep"""
positif,"Setidaknya punya tujuh puluh tahun Tak bisa melompat kumahir berenang Bahagia melihat kawanan betina Berkumpul bersama sampai ajal Besar dan berani berperang sendiri Yang aku hindari hanya semut kecil Otak ini cerdas kurakit perangkat"" "
positif,"bila mimpi adalah tantangan maka hadapilah sekuat tenagamu bila mimpi adalah lagu maka nyanyikanlah dengan bersama-sama mimpi kita masih panjang tetap terus berjuang semangatlah dan wujudkan"""
positif,"Tak ada manusia Yang terlahir sempurna Jangan kau sesali Segala yang telah terjadi Kita pasti pernah Dapatkan cobaan yang berat Seakan hidup ini Tak ada artinya lagi Syukuri apa yang ada Hidup"""
positif,"Apa yang kau takutkan Dengan semua ini Bukankah kesedihan Sering kita alami Keadaan ini Buat kita terbiasa Dengarkan ku bicara Teruslah bermimpi Walau kenyataannya jauh berbeda Teruslah bermimpi"""
positif,"mimpi adalah kunci untuk kita menaklukkan dunia berlarilah tanpa lelah sampai engkau meraihnya laskar pelangi takkan terikat waktu bebaskan mimpimu di angkasa warnai bintang di jiwa menarilah"""
positif,"Hanya bilik bambu tempat tinggal kita Tanpa hiasan, tanpa lukisan Beratap jerami, beralaskan tanah Namun semua ini punya kita Memang semua ini milik kita, sendiri Hanya alang alang pagar rumah kita"""
positif,"Di sini ada Satu kisah Cerita tentang Anak manusia Menantang hidup Bersama Mencoba menggali Makna cinta Tetes air mata Mengalir di sela Derai tawa Selamanya kita Tak akan berhenti Mengejar matahari"""
positif,"Ketika mimpimu Yang begitu indah Tak pernah terwujud Ya sudahlah Saat kau berlari Mengejar anganmu Dan tak pernah sampai Ya sudahlah Hm-hm-hm ... Apa pun yang terjadi 'Ku 'kan selalu ada untukmu"""
positif,"Dulu kita sahabat, teman begitu hangat Mengalahkan sinar mentari Dulu kita sahabat, berteman bagai ulat Berharap jadi kupu-kupu Kini kita melangkah berjauh-jauhan Kau jauhi diriku karna sesuatu Mungkin ku terlalu bertindak kejauhan""  "
positif,"Sahabat sejatiku Hilangkah dari ingatanmu Di hari kita saling berbagi Dengan kotak sejuta mimpi Aku datang menghampirimu Kuperlihat semua hartaku  Kita s'lalu berpendapat Kita ini yang terhebat"" "
positif,"biarkan saja kekasihmu pergi teruskan saja mimpi yang kau tunda kita temukan tempat yang layak sahabatku kupercaya kan langkah bersamamu tak kuragukan berbagi dengan mu kita temukan tempat yang layak sahabatku""  "
positif,"Tak mudah untuk kita Hadapi perbedaan yang berarti Tak mudah untuk kita Lewati rintangan silih berganti Kau masih berdiri Kita masih di sini Tunjukkan pada dunia Arti sahabat Kau teman sehati Kita teman sejati Hadapilah dunia"" "
negatif,"Luruh Seluruh harapku Luruh Semua janjimu Ketika jalanku dan jalanmu Tak bertemu Hmm hmm Tuh runtuh Seluruh maknaku Ketika inginku dan inginmu tak bertemu Tak menyatu Di dalam pusaran mu"""
negatif,"Terlalu sadis caramu Menjadikan diriku Pelampiasan cintamu agar dia kembali padamu Tanpa perduli sakitnya aku Tega niannya caramu Menyingkirkan diriku Dari percintaan ini agar dia kembali padamu"""
negatif,"Padamu pemilik Hati yang tak pernah kumiliki Yang hadir sebagai Bagian dari kisah hidupku Engkau aku cinta Dengan segenap rasa di hati Selalu 'ku mencoba Menjadi seperti yang engkau minta Aku tahu"""
negatif,"Telah lama sendiri Dalam langkah sepi Tak pernah kukira bahwa akhirnya Tiada dirimu di sisiku Meski waktu datang Dan berlalu sampai kau tiada bertahan Semua takkan mampu mengubahku Hanyalah kau"""
negatif,"Sandiwarakah selama ini Setelah sekian lama kita telah bersama Inikah akhir cerita cinta Yang sekalu aku banggakan Didepan mereka Entah dimana kusembunyikan rasa malu Kini harus aku lewati Sepi hari"""
negatif,"Detik waktu terus berjalan Berhias gelap dan terang Suka dan duka, tangis dan tawa Tergores bagai lukisan Seribu mimpi, berjuta sepi Hadir bagai teman sejati Di antara lelahnya jiwa Dalam resah dan air mata"" "
negatif,"nanti pasti kau sesali keputusan dirimu meninggalkan aku demi dia yang kau fikir sempurna dan punya segalanya hingga kau pun berpaling dan meninggalkan ku mungkin sekarang kau masih berbahagia"""
negatif,"Tak mau lagi aku percaya Pada semua kasih sayangmu Tak mau lagi aku tersentuh Pada semua pengakuanmu Kamu takkan mengerti rasa sakit ini Kebohongan dari mulut manismu Pergilah kau Pergi dari hidupku"""
negatif,"Kau menyiksaku disini Dalam rasa bersalah yang kini Membunuhku secara perlahan Kau selalu menghindar dari Aku yang selalu mencoba Ungkapkan semua lewat Tatap mata ini Ternyata maafmu tak pernah Pantas untukku"""
negatif,"Bersabarlah, sayang Aku akan pulang Jangan dengarkan Gosip murahan Tentang aku Berjanjilah, sayang Tuk selalu setia Meski 'ku tak selalu Di sampingmu Tak usah menangis meratapi aku Tak perlu kau berpikir 'ku meninggalkanmu Mana mungkin selimut tetangga"""
